frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
153,5.1,log1,group_02,traffic1.mp4,7,truck,0.714,436,174,992,438,714,306,1280,720,false,left,301.5
154,5.133,log1,group_02,traffic1.mp4,7,truck,0.73,423,173,979,439,701,306,1280,720,false,left,390.0
155,5.167,log1,group_02,traffic1.mp4,7,truck,0.66,409,176,966,441,687,308,1280,720,false,left,429.5
156,5.2,log1,group_02,traffic1.mp4,7,truck,0.63,397,174,955,441,676,307,1280,720,false,left,335.4
157,5.233,log1,group_02,traffic1.mp4,7,truck,0.525,385,172,944,441,664,306,1280,720,false,left,330.0
158,5.267,log1,group_02,traffic1.mp4,7,truck,0.567,376,176,936,442,656,309,1280,720,false,left,276.6
159,5.3,log1,group_02,traffic1.mp4,7,truck,0.56,365,175,925,440,645,307,1280,720,false,left,331.4
160,5.333,log1,group_02,traffic1.mp4,7,truck,0.554,353,178,914,442,633,310,1280,720,false,left,365.0
160,5.333,log1,group_02,traffic1.mp4,23,car,0.53,3,-4,79,124,41,60,1280,720,false,,0.0
161,5.367,log1,group_02,traffic1.mp4,23,car,0.452,4,-5,88,123,46,59,1280,720,false,right,153.0
161,5.367,log1,group_02,traffic1.mp4,23,truck,0.444,4,-5,88,123,46,59,1280,720,false,right,153.0
161,5.367,log1,group_02,traffic1.mp4,7,bus,0.404,344,178,905,443,624,310,1280,720,false,left,270.0
162,5.4,log1,group_02,traffic1.mp4,7,truck,0.458,331,179,895,445,613,312,1280,720,false,left,335.4
163,5.433,log1,group_02,traffic1.mp4,7,truck,0.53,320,179,887,445,603,312,1280,720,false,left,300.0
164,5.467,log1,group_02,traffic1.mp4,7,truck,0.649,313,182,879,447,596,314,1280,720,false,left,228.5
165,5.5,log1,group_02,traffic1.mp4,7,truck,0.637,309,184,873,448,591,316,1280,720,false,left,153.0
